,Names,Prices,Links
1,"Portronics POR 1880 Bluetooth, Wireless Standard Gaming...",2499,flipkart.com/portronics-por-1880-bluetooth-wireless-standard-gaming-keyboard-compatible-desktop-laptop-mac-hydra-10-5-0-2-4-ghz-rgb-type-c-charging-mechanical/p/itm5358163d113cf?pid=ACCGQHHRWWXMDZ2Q&lid=LSTACCGQHHRWWXMDZ2QGYL2BZ&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_1&otracker=search&fm=organic&iid=en_xeRHblkkjvRs0ois2Nq9KjOcp5aXMOmUtQ6P7sK6B9JJMBUegQg3G3ePxekMcDuDQHAa6g3VpgKa8OFqbpN-__UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
2,SpinBot Rage K20 LED Backlit|Metal Body|19 Anti-Ghostin...,1240,flipkart.com/spinbot-rage-k20-led-backlit-metal-body-19-anti-ghosting-keys-volume-control-knob-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac/p/itmd31338184adb4?pid=ACCH6GZTVFARMZVQ&lid=LSTACCH6GZTVFARMZVQAY9K29&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_2&otracker=search&fm=organic&iid=en_xeRHblkkjvRs0ois2Nq9KjOcp5aXMOmUtQ6P7sK6B9KBRE0i120vYlkG_DYJPiT8_AXQZ2o2LQjMxbGKxqFi6A%3D%3D&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
3,ZEBRONICS Zeb-Optimus (Zeb-KMC 2) Wired USB Standard Ga...,899,flipkart.com/zebronics-zeb-optimus-zeb-kmc-2-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac/p/itma39534046bbb5?pid=ACCH9HSSWJQXWGZF&lid=LSTACCH9HSSWJQXWGZFR1YA8C&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_3&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCH9HSSWJQXWGZF.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
4,"Ant Esports MK1400 / Rainbow LED Illumination, White an...",599,flipkart.com/ant-esports-mk1400-rainbow-led-illumination-white-black-keycaps-backlit-membrane-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-mixed-colour-lighting-double-injection-key-caps/p/itm01831775ae5c0?pid=ACCGZTEKPNH7YKMT&lid=LSTACCGZTEKPNH7YKMTNBKYBE&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_4&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGZTEKPNH7YKMT.SEARCH&ppt=sp&ppn=sp&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
5,"Ant Esports MK1700 Membrane USB-A Connection, Quiet Key...",619,flipkart.com/ant-esports-mk1700-membrane-usb-a-connection-quiet-keystrokes-12-multimedia-function-keys-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-mode-multimedia-keys-ant-mk-1700-with-backlit-rgb-led/p/itm82786e1229a0c?pid=ACCGUHYQRDTSQPGD&lid=LSTACCGUHYQRDTSQPGDEGEWAF&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_5&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGUHYQRDTSQPGD.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
6,"Portronics Hydra 10, Bluetooth + 2.4 GHz, Rechargeable,...",2499,flipkart.com/portronics-hydra-10-bluetooth-2-4-ghz-rechargeable-mechanical-red-switches-rgb-light-bluetooth-wireless-standard-gaming-keyboard-compatible-desktop-laptop-mac-10-5-0-rgb-type-c-charging-mechanical/p/itm376985af76684?pid=ACCHYDYJCVSSQ3XH&lid=LSTACCHYDYJCVSSQ3XHUFWJAJ&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_6&otracker=search&fm=organic&iid=en_xeRHblkkjvRs0ois2Nq9KjOcp5aXMOmUtQ6P7sK6B9JtpBmTctC000WjPs8XNEVtQ2VyUU3_eCacPUpAmPKIMOvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
7,Intex IT-KB334 Wired USB Standard Gaming Keyboard Compa...,599,flipkart.com/intex-it-kb334-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-mouse-it-kb-334-rgb-spill-resistant/p/itmd844b8397574f?pid=CASGMPTC9G4RHSP4&lid=LSTCASGMPTC9G4RHSP44YCQZP&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_7&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.CASGMPTC9G4RHSP4.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
8,Ant Esports MK1001 One Handed RGB Backlit 35 Keys Gamin...,749,flipkart.com/ant-esports-mk1001-one-handed-rgb-backlit-35-keys-gaming-wired-usb-handheld-multi-device-keyboard-compatible-desktop-laptop-mac-easy-use-plug-play-quick-comfy-durable-body/p/itme6347f48734ff?pid=ACCGT2KT7BGQGYU4&lid=LSTACCGT2KT7BGQGYU4U3G6UP&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_8&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGT2KT7BGQGYU4.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
9,Zoook Concord Wired USB Standard Gaming Keyboard Compat...,299,flipkart.com/zoook-concord-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-stand-support/p/itm24d4e6359b824?pid=ACCGAD3V7UHGH8KK&lid=LSTACCGAD3V7UHGH8KKML02ZG&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_9&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCGAD3V7UHGH8KK.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
10,"Ant Esports KM1600, Wired Backlit Rainbow LED Keyboard ...",699,flipkart.com/ant-esports-km1600-wired-backlit-rainbow-led-keyboard-3200-dpi-gaming-mouse-pc-laptop-usb-standard-compatible-desktop-laptop-mac/p/itm70f26725e6100?pid=CASGZUAKDKSZZZGH&lid=LSTCASGZUAKDKSZZZGH6X1ZTR&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_10&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.CASGZUAKDKSZZZGH.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
11,"Kreo Hive Lite RGB 75% Wired Membrane Gaming Keyboard, ...",1399,flipkart.com/kreo-hive-lite-rgb-75-wired-membrane-gaming-keyboard-ultra-silent-anti-ghosting-usb-tenkeyless-keyboard-compatible-desktop-laptop-mac/p/itm017652b7891b9?pid=ACCH8AZV7UM2U5G9&lid=LSTACCH8AZV7UM2U5G90SUPK9&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_11&otracker=search&fm=organic&iid=en_xeRHblkkjvRs0ois2Nq9KjOcp5aXMOmUtQ6P7sK6B9LEw9APRVGpE9Jmd1ZLSwjsAlI6GE-17HFplsR5FYSgnEhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
12,"Portronics Hydra 10/5.0 + 2.4 GHz, RGB, Type C Charging...",2799,flipkart.com/portronics-hydra-10-5-0-2-4-ghz-rgb-type-c-charging-mechanical-bluetooth-wireless-standard-gaming-keyboard-compatible-desktop-laptop-mac/p/itmf8e62395463f7?pid=ACCGQGB2KCEPHBUY&lid=LSTACCGQGB2KCEPHBUYRGZBY6&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_12&otracker=search&fm=organic&iid=en_xeRHblkkjvRs0ois2Nq9KjOcp5aXMOmUtQ6P7sK6B9LD4mpE_BaoFdkCc7zNc5ssYOmOXGlcGClRXg6ImMBypa8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
13,"Techfire KT660 Anti-ghosting, Aluminium body with Mobil...",603,flipkart.com/techfire-kt660-anti-ghosting-aluminium-body-mobile-holder-membrane-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac/p/itm42fe94fc55b5a?pid=ACCH6K7GNDHHZEHH&lid=LSTACCH6K7GNDHHZEHHXBXWGY&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_13&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCH6K7GNDHHZEHH.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
14,"EVOFOX Warhammer Floating Keycaps, 19 Anti Ghosting Key...",999,flipkart.com/evofox-warhammer-floating-keycaps-19-anti-ghosting-keys-led-backlit-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-stand-support-multimedia-keys-warhammer/p/itm8a48be0fe1967?pid=ACCG3ECZEECW6YHD&lid=LSTACCG3ECZEECW6YHDYLCWJS&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_14&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCG3ECZEECW6YHD.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
15,zebion Yama Rainbow Backlit Gaming Keyboard for PC Lapt...,575,flipkart.com/zebion-yama-rainbow-backlit-gaming-keyboard-pc-laptop-gamers-work-104-keys-wired-usb-standard-compatible-desktop-laptop-tablet-ipad-mac/p/itmf6500d81034bf?pid=ACCH8XTBV8CWBB66&lid=LSTACCH8XTBV8CWBB66VJMHJZ&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_15&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCH8XTBV8CWBB66.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
16,HP K300 Wired USB Standard Gaming Keyboard Compatible w...,899,flipkart.com/hp-k300-wired-usb-standard-gaming-keyboard-compatible-desktop-laptop-mac-easy-use-plug-play-quick-comfy-durable-body/p/itm8665dec90deaa?pid=ACCFZPFENHMH3HGN&lid=LSTACCFZPFENHMH3HGNUBOCJL&marketplace=FLIPKART&q=gaming+keyboard&store=6bo%2Fai3%2F3oe&srno=s_1_16&otracker=search&fm=organic&iid=d3c79a11-49bc-4a78-aa3d-c4537e9a3ead.ACCFZPFENHMH3HGN.SEARCH&ppt=None&ppn=None&ssid=ac0e2t1sdc0000001748957462313&qH=45ab4f678488626f
