,Names,Prices,Links
1,"<a class=""wjcEIp"" href=""/apple-airpods-pro-2nd-generation-magsafe-case-usb-c-bluetooth/p/itm60c8f5a308352?pid=ACCGTCYRNADXCXNG&amp;lid=LSTACCGTCYRNADXCXNG7KYTVT&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;spotlightTagId=default_BestsellerId_0pm%2Ffcn&amp;srno=s_1_1&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCGTCYRNADXCXNG.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Apple AirPods Pro (2nd generation) with MagSafe Case (USB-C) Bluetooth"">Apple AirPods Pro (2nd generation) with MagSafe Case (U...</a>",17990,flipkart.com/apple-airpods-pro-2nd-generation-magsafe-case-usb-c-bluetooth/p/itm60c8f5a308352?pid=ACCGTCYRNADXCXNG&lid=LSTACCGTCYRNADXCXNG7KYTVT&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&spotlightTagId=default_BestsellerId_0pm%2Ffcn&srno=s_1_1&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCGTCYRNADXCXNG.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
2,"<a class=""wjcEIp"" href=""/apple-airpods-2nd-gen-charging-case-bluetooth-headset-mic/p/itm8f1b2b0173ce4?pid=ACCFF2R85H8YG4WH&amp;lid=LSTACCFF2R85H8YG4WHGHLQ66&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;spotlightTagId=default_BestsellerId_0pm%2Ffcn&amp;srno=s_1_2&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCFF2R85H8YG4WH.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Apple AirPods(2nd gen) with Charging Case Bluetooth Headset with Mic"">Apple AirPods(2nd gen) with Charging Case Bluetooth Hea...</a>",8999,flipkart.com/apple-airpods-2nd-gen-charging-case-bluetooth-headset-mic/p/itm8f1b2b0173ce4?pid=ACCFF2R85H8YG4WH&lid=LSTACCFF2R85H8YG4WHGHLQ66&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&spotlightTagId=default_BestsellerId_0pm%2Ffcn&srno=s_1_2&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCFF2R85H8YG4WH.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
3,"<a class=""wjcEIp"" href=""/apple-airpods-4-wireless-earbuds-active-noise-cancellation-adaptive-audio-bluetooth/p/itm8fa3b69c4f879?pid=ACCH4JE2BAJH75N3&amp;lid=LSTACCH4JE2BAJH75N35NL6RG&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_3&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH4JE2BAJH75N3.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Apple AirPods 4 Wireless Earbuds with Active Noise Cancellation, Adaptive Audio Bluetooth"">Apple AirPods 4 Wireless Earbuds with Active Noise Canc...</a>",16990,flipkart.com/apple-airpods-4-wireless-earbuds-active-noise-cancellation-adaptive-audio-bluetooth/p/itm8fa3b69c4f879?pid=ACCH4JE2BAJH75N3&lid=LSTACCH4JE2BAJH75N35NL6RG&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_3&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH4JE2BAJH75N3.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
4,"<a class=""wjcEIp"" href=""/apple-airpods-4-wireless-earbuds-personalised-spatial-audio-sweat-water-resistant-bluetooth/p/itmdf102348be4b9?pid=ACCH4JE2SWZHZXE2&amp;lid=LSTACCH4JE2SWZHZXE2B9N3XI&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_4&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH4JE2SWZHZXE2.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Apple AirPods 4 Wireless Earbuds, Personalised Spatial Audio,Sweat and Water Resistant Bluetooth"">Apple AirPods 4 Wireless Earbuds, Personalised Spatial ...</a>",12900,flipkart.com/apple-airpods-4-wireless-earbuds-personalised-spatial-audio-sweat-water-resistant-bluetooth/p/itmdf102348be4b9?pid=ACCH4JE2SWZHZXE2&lid=LSTACCH4JE2SWZHZXE2B9N3XI&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_4&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH4JE2SWZHZXE2.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
5,"<a class=""wjcEIp"" href=""/apple-airpods-3rd-generation-bluetooth/p/itm6ffae700b8445?pid=ACCG7XA99NB9RYG9&amp;lid=LSTACCG7XA99NB9RYG9RLYV4Y&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_5&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCG7XA99NB9RYG9.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Apple AirPods (3rd generation) Bluetooth"">Apple AirPods (3rd generation) Bluetooth</a>",10499,flipkart.com/apple-airpods-3rd-generation-bluetooth/p/itm6ffae700b8445?pid=ACCG7XA99NB9RYG9&lid=LSTACCG7XA99NB9RYG9RLYV4Y&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_5&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCG7XA99NB9RYG9.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
6,"<a class=""wjcEIp"" href=""/apple-airpods-3rd-generation-lightning-charging-case-bluetooth/p/itm7f946b906e294?pid=ACCGHWZNT3JYKUCX&amp;lid=LSTACCGHWZNT3JYKUCXUPBBZN&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_6&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCGHWZNT3JYKUCX.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Apple AirPods (3rd generation) with Lightning Charging Case Bluetooth"">Apple AirPods (3rd generation) with Lightning Charging ...</a>",9999,flipkart.com/apple-airpods-3rd-generation-lightning-charging-case-bluetooth/p/itm7f946b906e294?pid=ACCGHWZNT3JYKUCX&lid=LSTACCGHWZNT3JYKUCXUPBBZN&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_6&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCGHWZNT3JYKUCX.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
7,"<a class=""wjcEIp"" href=""/apple-airpods-pro-2nd-generation-bluetooth/p/itme8963259e9935?pid=ACCHAGBGS9SQEMPT&amp;lid=LSTACCHAGBGS9SQEMPTKMPNZ8&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_7&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCHAGBGS9SQEMPT.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Apple AirPods Pro (2nd generation) Bluetooth"">Apple AirPods Pro (2nd generation) Bluetooth</a>",24990,flipkart.com/apple-airpods-pro-2nd-generation-bluetooth/p/itme8963259e9935?pid=ACCHAGBGS9SQEMPT&lid=LSTACCHAGBGS9SQEMPTKMPNZ8&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_7&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCHAGBGS9SQEMPT.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
8,"<a class=""wjcEIp"" href=""/apple-airpods-max-bluetooth/p/itm0aeb5b1cea3c6?pid=ACCH4JE2VHQDABUH&amp;lid=LSTACCH4JE2VHQDABUHLZ0GKN&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_8&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH4JE2VHQDABUH.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Apple AirPods Max Bluetooth"">Apple AirPods Max Bluetooth</a>",59900,flipkart.com/apple-airpods-max-bluetooth/p/itm0aeb5b1cea3c6?pid=ACCH4JE2VHQDABUH&lid=LSTACCH4JE2VHQDABUHLZ0GKN&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_8&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCH4JE2VHQDABUH.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
9,"<a class=""wjcEIp"" href=""/apple-airpods-pro-magsafe-charging-case-bluetooth/p/itm0847811966368?pid=ACCG7XG5ZQ47ZHFR&amp;lid=LSTACCG7XG5ZQ47ZHFRGTXJL1&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_9&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCG7XG5ZQ47ZHFR.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Apple Airpods Pro with MagSafe Charging Case Bluetooth"">Apple Airpods Pro with MagSafe Charging Case Bluetooth</a>",19990,flipkart.com/apple-airpods-pro-magsafe-charging-case-bluetooth/p/itm0847811966368?pid=ACCG7XG5ZQ47ZHFR&lid=LSTACCG7XG5ZQ47ZHFRGTXJL1&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_9&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCG7XG5ZQ47ZHFR.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
10,"<a class=""wjcEIp"" href=""/apple-new-airpods-max-bluetooth/p/itm68371c90748a9?pid=ACCFY8NFDHZRHHNW&amp;lid=LSTACCFY8NFDHZRHHNWHT3DBH&amp;marketplace=FLIPKART&amp;q=airpods&amp;store=0pm%2Ffcn&amp;srno=s_1_10&amp;otracker=search&amp;fm=organic&amp;iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCFY8NFDHZRHHNW.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jplw9y9q9s0000001748934985306&amp;qH=b138a01d28163f61"" rel=""noopener noreferrer"" target=""_blank"" title=""Apple New AirPods Max Bluetooth"">Apple New AirPods Max Bluetooth</a>",59900,flipkart.com/apple-new-airpods-max-bluetooth/p/itm68371c90748a9?pid=ACCFY8NFDHZRHHNW&lid=LSTACCFY8NFDHZRHHNWHT3DBH&marketplace=FLIPKART&q=airpods&store=0pm%2Ffcn&srno=s_1_10&otracker=search&fm=organic&iid=f2669d2f-5cbe-475a-8e33-0a69451b3945.ACCFY8NFDHZRHHNW.SEARCH&ppt=None&ppn=None&ssid=jplw9y9q9s0000001748934985306&qH=b138a01d28163f61
